gemeente,aantal,code
Oudewater,9873,589
Overbetuwe,46665,1734
Papendrecht,32117,590
Peel en Maas,43314,1894
Pekela,12706,765
Pijnacker-Nootdorp,51071,1926
Purmerend,79576,439
Putten,23872,273
Raalte,36519,177
Reimerswaal,21927,703
Renkum,31580,274
Renswoude,4924,339
Reusel-De Mierden,12713,1667
Rheden,43640,275
Rhenen,19116,340
Ridderkerk,45253,597
Rijnwaarden,10917,196
Rijssen-Holten,37661,1742
Rijswijk (ZH.),47634,603
Roerdalen,20832,1669
Roermond,56929,957
De Ronde Venen,42642,736
Roosendaal,77027,1674
Rotterdam,618357,599
Rozendaal,1503,277
Rucphen,22180,840
Schagen,45978,441
Scherpenzeel,9498,279
Schiedam,76450,606
Schiermonnikoog,942,88
Schijndel,23360,844
Schinnen,12901,962
Schouwen-Duiveland,33852,1676
Simpelveld,10844,965
Sint Anthonis,11691,1702
Sint-Michielsgestel,28121,845
Sint-Oedenrode,17934,846
Sittard-Geleen,93691,1883
Sliedrecht,24528,610
Slochteren,15548,40
Sluis,23820,1714
Smallingerland,55467,90
Soest,45493,342
Someren,18690,847
Son en Breugel,16235,848
Stadskanaal,32803,37
Staphorst,16367,180
Stede Broec,21485,532
Steenbergen,23374,851
Steenwijkerland,43350,1708
Stein (L.),25390,971
Stichtse Vecht,63856,1904
Strijen,8683,617
Súdwest-Fryslân,84180,1900
Terneuzen,54709,715
Terschelling,4780,93
Texel,13552,448
Teylingen,35735,1525
Tholen,25408,716
Tiel,41775,281
Tilburg,210270,855
Tubbergen,21206,183
Twenterand,33929,1700
Tynaarlo,32493,1730
Tytsjerksteradiel,31973,737
Uden,40913,856
Uitgeest,13234,450
Uithoorn,28418,451
Urk,19470,184
Utrecht,328164,344
Utrechtse Heuvelrug,47951,1581
Vaals,9685,981
Valkenburg aan de Geul,16675,994
Valkenswaard,30335,858
Veendam,27792,47
Veenendaal,63252,345
Veere,21868,717
Veghel,37464,860
Veldhoven,44155,861
Velsen,67220,453
Venlo,100428,983
Venray,43112,984
Vianen,19596,620
Vlaardingen,70981,622
Vlagtwedde,15905,48
Vlieland,1110,96
Vlissingen,44444,718
Voerendaal,12454,986
Voorschoten,24951,626
Voorst,23767,285
Vught,25638,865
Waalre,16765,866
Waalwijk,46498,867
Waddinxveen,25508,627
Wageningen,37429,289
Wassenaar,25675,629
Waterland,17134,852
Weert,48721,988
Weesp,18172,457
Werkendam,26387,870
West Maas en Waal,18419,668
Westerveld,18933,1701
Westervoort,15138,293
Westland,103241,1783
Weststellingwerf,25454,98
Westvoorne,13964,614
Wierden,23909,189
Wijchen,41043,296
Wijdemeren,23187,1696
Wijk bij Duurstede,23043,352
Winsum,13850,53
Winterswijk,28881,294
Woensdrecht,21621,873
Woerden,50577,632
De Wolden,23583,1690
Wormerland,15777,880
Woudenberg,12422,351
Woudrichem,14425,874
Zaanstad,150598,479
Zaltbommel,27182,297
Zandvoort,16575,473
Zederik,13656,707
Zeevang,6341,478
Zeewolde,21499,50
Zeist,61250,355
Zevenaar,32283,299
Zoetermeer,123561,637
Zoeterwoude,8075,638
Zuidhorn,18775,56
Zuidplas,40892,1892
Zundert,21399,879
Zutphen,47164,301
Zwartewaterland,22167,1896
Zwijndrecht,44547,642
Zwolle,123159,193
